SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
10001;562012;363089;5731819;Montessori Grundschule Dorsten gGmbH;;;46286;Dorsten;Kleiner Ring 2;02369;2059909;00;2;Dorsten, Mont. Grundschule Dorsten gGmbH;1;20190801;35;0;;0;1;;
10002;762004;499949;5724780;Trägerverein Grundschule;St. Walburga Neuenheerse;;33014;Bad Driburg;Taildor 8;;;00;2;Bad Driburg, Trägerverein St. Walburga;1;20190801;42;0;;0;1;;
10003;999999;999999;9999999;Deutsche Angestellten-Akademie;Wirtschaftsschule GmbH;;22081;Hamburg;Teichweg 19;;;00;2;Hamburg, DAA Wirtschaftschule GmbH;1;20190701;35;0;;0;1;;
10004;315000;360559;5646621;LOGOS Verein für russische Kultur;& Bildung e.V.;;51065;Köln;Arnsberger Str. 11;0221;16908487;00;2;Köln, LOGOS e.V.;1;20190801;32;0;;0;1;;
10005;774032;485837;5730602;Bildungswerkstatt;Realschule Altenbeken gGmbH;;33100;Paderborn;Vattmannstr. 5-5A;;;00;2;Paderborn, Bildungs. Altenbeken gGmbH;1;20190801;35;0;;0;1;;
10006;915000;413616;5724120;Bekenntnisorientierte christliche;Schulen Hamm e.V.;;59077;Hamm;Zechenweg 8;;;00;2;Hamm,Bekenntnis.christl.Schulen Hamm e.V;1;20190801;44;0;;0;1;;
10007;974028;453646;5729260;Gemeinnützige Gesellschaft;Zukunftsschulen Lippstadt mbH;;59556;Lippstadt;Im Eichholz 10;;;00;2;Lippstadt, Gemeinn.Gesellsch.Zukunftssch;1;20190801;35;0;;0;1;;
10008;154044;314985;5742193;Verein Freie Waldorfschule Niederrhein-;Aue e.V.;;46459;Rees;Grietherort 13;;;00;2;Rees, Niederrhein-Aue e.V.;1;20190828;32;0;;0;1;;
10009;562012;363046;5731846;Montessori Reform Dorsten gGmbH;;;46286;Dorsten;Dülmener Str. 40;02369;2087058;00;2;Dorsten, Montessori Reform Dorsten gGmbH;1;20200101;35;0;;0;1;;
10017;111000;343261;5675464;Land Nordrhein-Westfalen;Ministerium für Schule und Bildung;;40221;Düsseldorf;Völklinger Str. 49;0211;5867-40;00;1;Land Nordrhein-Westfalen;1;19730801;02;0;;0;1;;
10029;315000;357312;5645025;Landschaftsverband Rheinland;;;50679;Köln;Kennedyufer 2;0221;809-2534;00;1;Köln, Landschaftsverband Rheinland;1;19730801;09;0;;0;1;;
10030;515000;406275;5757718;Landschaftsverband Westfalen-Lippe;;;48147;Münster;Freiherr-vom-Stein-Platz 1;0251;59101;00;1;Münster, Landschaftsverband Westf.-Lippe;1;19730801;09;0;;0;1;;
10042;111000;344426;5677269;Stadt Düsseldorf;;;40213;Düsseldorf;Marktplatz 6;0211;8991;00;1;Stadt Düsseldorf;1;19730801;03;0;;0;1;;
10054;112000;344388;5700622;Stadt Duisburg;;;47051;Duisburg;Burgplatz 19;0203;283-2934;00;1;Stadt Duisburg;1;19730801;03;0;;0;1;;
10066;113000;362194;5702044;Stadt Essen;- Schulverwaltungsamt -;;45127;Essen;Hollestr. 3;0201;8840950;00;1;Stadt Essen;1;19730801;03;0;;0;1;;
10078;114000;329968;5689803;Stadt Krefeld;;;47798;Krefeld;Von-der-Leyen-Platz 1;02151;86/1;00;1;Stadt Krefeld;1;19730801;03;0;;0;1;;
10080;316000;359692;5660001;Stadt Leverkusen;;;51379;Leverkusen;Haus-Vorster-Str. 8;0214;406-0;00;1;Stadt Leverkusen;1;19730801;03;0;;0;1;;
10091;116000;320498;5674425;Stadt Mönchengladbach;;;41050;Mönchengladbach;Rathausplatz 1;02161;250;00;1;Stadt Mönchengladbach;1;19730801;03;0;;0;1;;
10108;117000;352501;5699359;Stadt Mülheim an der Ruhr;;;45468;Mülheim an der Ruhr;Ruhrstraße 32-34;0208;4550;00;1;Stadt Mülheim an der Ruhr;1;19730801;03;0;;0;1;;
10110;162024;338791;5674354;Stadt Neuss;;;41460;Neuss;Markt 6;02101;206/1;00;1;Stadt Neuss;1;19730801;06;0;;0;1;;
10121;119000;351402;5704672;Stadt Oberhausen;;;46045;Oberhausen;Schwartzstraße 72;0208;825/1;00;1;Stadt Oberhausen;1;19730801;03;0;;0;1;;
10133;120000;372898;5671916;Stadt Remscheid;Amt für Schule und Bildung;;42853;Remscheid;Schützenstraße 57;02191;16-2543;00;1;Stadt Remscheid;1;19730801;03;0;;0;1;;
10157;122000;366233;5671253;Stadt Solingen;;;42651;Solingen;Cronenberger Str. 59;0212;290-0;00;1;Stadt Solingen;1;19730801;03;0;;0;1;;
10169;124000;374610;5681664;Stadt Wuppertal;;;42275;Wuppertal;Wegnerstraße 13-15;0202;5631;00;1;Stadt Wuppertal;1;19730801;03;0;;0;1;;
10170;314000;365533;5622262;Stadt Bonn;;;53111;Bonn;Berliner Platz 2;0228;770;00;1;Stadt Bonn;1;19730801;03;0;;0;1;;
10182;315000;356584;5644953;Stadt Köln;;;50667;Köln;Rathausplatz 1;0221;2210;00;1;Stadt Köln;1;19730801;03;0;;0;1;;
10194;334002;294320;5628102;Stadt Aachen;;;52064;Aachen;Mozartstraße 2-10;0241;432-0;00;1;Stadt Aachen;1;19730801;03;0;;0;1;;
10200;554008;335449;5745625;Stadt Bocholt;;;46395;Bocholt;Berliner Platz 1;02871;953-0;00;1;Stadt Bocholt;1;19730801;06;0;;0;1;;
10212;512000;355809;5709881;Stadt Bottrop;;;46236;Bottrop;Osterfelder Str. 27;02041;703219;00;1;Stadt Bottrop;1;19730801;03;0;;0;1;;
10224;513000;367771;5708061;Stadt Gelsenkirchen;Schulverwaltungsamt;;45879;Gelsenkirchen;Ahstraße 22;0209;169-3516;00;1;Stadt Gelsenkirchen;1;19730801;03;0;;0;1;;
10236;562014;360889;5715518;Stadt Gladbeck;;;45964;Gladbeck;Hochstraße 2;02043;275/1;00;1;Stadt Gladbeck;1;19760701;06;0;;0;1;;
10248;515000;405812;5757598;Stadt Münster;;;48143;Münster;Klemensstr. 10;0251;492-4024;00;1;Stadt Münster;1;19730801;03;0;;0;1;;
10250;562032;375382;5719380;Stadt Recklinghausen;- Schulverwaltung -;;45657;Recklinghausen;Rathausplatz 3;02361;533037;00;1;Stadt Recklinghausen;1;19730801;06;0;;0;1;;
10261;711000;468096;5763493;Stadt Bielefeld;;;33602;Bielefeld;Niederwall 25;0521;51/1;00;1;Stadt Bielefeld;1;19730801;03;0;;0;1;;
10273;911000;376073;5704960;Stadt Bochum;;;44787;Bochum;Willy-Brandt-Platz 2-6;0234;910-3863;00;1;Stadt Bochum;1;19730801;03;0;;0;1;;
10285;562004;382920;5714046;Stadt Castrop-Rauxel;;;44575;Castrop-Rauxel;Europaplatz 1;02305;106/1;00;1;Stadt Castrop-Rauxel;1;19730801;06;0;;0;1;;
10297;913000;393650;5707722;Stadt Dortmund;;;44137;Dortmund;Südwall 2;0231;500;00;1;Stadt Dortmund;1;19730801;03;0;;0;1;;
10303;914000;393824;5690799;Stadt Hagen;;;58095;Hagen;Rathausstr. 11;02331;2071;00;1;Stadt Hagen;1;19730801;03;0;;0;1;;
10315;915000;418525;5725806;Stadt Hamm;;;59065;Hamm;Theodor-Heuss-Platz 16;02381;170;00;1;Stadt Hamm;1;19730801;03;0;;0;1;;
10327;916000;376527;5711156;Stadt Herne;;;44623;Herne;Friedrich-Ebert-Platz 2;02323;16-0;00;1;Stadt Herne;1;19730801;03;0;;0;1;;
10339;962024;409642;5692481;Stadt Iserlohn;;;58636;Iserlohn;Schillerplatz 7;02371;217/1;00;1;Stadt Iserlohn;1;19730801;06;0;;0;1;;
10340;978024;397521;5719189;Stadt Lünen;;;44532;Lünen;Graf-Adolf-Straße 38;02306;1041;00;1;Stadt Lünen;1;19730801;06;0;;0;1;;
10376;954036;384305;5700074;Stadt Witten;;;58452;Witten;Marktstr. 16;02302;581-0;00;1;Stadt Witten;1;19730801;06;0;;0;1;;
10390;158024;358418;5679872;Kreis Mettmann;;;40822;Mettmann;Düsseldorfer Straße 26;02104;790/1;00;1;Kreis Mettmann;1;19730801;04;0;;0;1;;
10418;162008;331453;5662296;Rhein-Kreis Neuss;;;41515;Grevenbroich;Lindenstr. 2-16;02181;6011;00;1;Rhein-Kreis Neuss;1;19730801;04;0;;0;1;;
10420;166032;318101;5681854;Kreis Viersen;;;41747;Viersen;Rathausmarkt 3;02162;390;00;1;Kreis Viersen;1;19730801;04;0;;0;1;;
10431;154036;302610;5740558;Kreis Kleve;;;47533;Kleve;Nassauer Allee 15-23;02821;851;00;1;Kreis Kleve;1;19730801;04;0;;0;1;;
10455;170048;334602;5726473;Kreis Wesel;Fachbereich Schulen und Kultur 40;;46483;Wesel;Reeser Landstraße 31;0281;2071;00;1;Kreis Wesel;1;19730801;04;0;;0;1;;
10479;362008;333655;5647085;Rhein-Erft-Kreis;;;50126;Bergheim;Willy-Brandt-Platz 1;02271;830;00;1;Rhein-Erft-Kreis;1;19730801;04;0;;0;1;;
10480;366016;343395;5615397;Kreis Euskirchen;;;53879;Euskirchen;Jülicher Ring 32;02251;15-0;00;1;Kreis Euskirchen;1;19730801;04;0;;0;1;;
10509;374012;399725;5654120;Oberbergischer Kreis;;;51643;Gummersbach;Moltkestr. 42;02261;880;00;1;Oberbergischer Kreis;1;19730801;04;0;;0;1;;
10510;378004;369662;5648875;Rheinisch-Bergischer Kreis;;;51469;Bergisch Gladbach;Am Rübezahlwald 7;02202;131;00;1;Rheinisch-Bergischer Kreis;1;19730801;04;0;;0;1;;
10522;382060;373637;5628355;Rhein-Sieg-Kreis;;;53721;Siegburg;Kaiser-Wilhelm-Platz 1;02241;13/1;00;1;Rhein-Sieg-Kreis;1;19730801;04;0;;0;1;;
10534;334002;295319;5628123;Städteregion Aachen;;;52070;Aachen;Zollernstr. 10;0241;5198/1;00;1;Städteregion Aachen;1;19730801;04;0;;0;1;;
10546;358008;323009;5631204;Kreis Düren;;;52351;Düren;Bismarckstraße 16;02421;220;00;1;Kreis Düren;1;19730801;04;0;;0;1;;
10558;370016;297335;5660561;Kreis Heinsberg;;;52525;Heinsberg;Valkenburger Str. 45;02452;134014;00;1;Kreis Heinsberg;1;19730801;04;0;;0;1;;
10583;554012;352355;5746116;Kreis Borken;;;46325;Borken;Im Piepershagen 17;02861;821;00;1;Kreis Borken;1;19730801;04;0;;0;1;;
10595;558012;374510;5756530;Kreis Coesfeld;;;48653;Coesfeld;Schützenwall 18;02541;181;00;1;Kreis Coesfeld;1;19730801;04;0;;0;1;;
10625;566084;386741;5778999;Kreis Steinfurt;Schul-, Kultur- und Sportamt;z. H. Herrn Vogel;48565;Steinfurt;Tecklenburger Straße 10;02551;692126;00;1;Kreis Steinfurt;1;19730801;04;0;;0;1;;
10649;570052;430405;5756171;Kreis Warendorf;;;48231;Warendorf;Lange Kesselstraße 4-6;02581;531;00;1;Kreis Warendorf;1;19730801;04;0;;0;1;;
10674;766020;489597;5754035;Kreis Lippe;;;32756;Detmold;Felix-Fechenbach-Str. 5;05231;620;00;1;Kreis Lippe;1;19730801;04;0;;0;1;;
10686;754008;455233;5750676;Kreis Gütersloh;Der Landrat;;33334;Gütersloh;Herzebrocker Str. 140;05241;851425;00;1;Kreis Gütersloh;1;19730801;04;0;;0;1;;
10698;758012;476859;5773981;Kreis Herford;;;32051;Herford;Amtshausstr. 2;05221;130;00;1;Kreis Herford;1;19730801;04;0;;0;1;;
10704;762020;525340;5737081;Kreis Höxter;;;37671;Höxter;Molktestr. 12;05271;9650;00;1;Kreis Höxter;1;19730801;04;0;;0;1;;
10730;770024;493946;5792368;Kreis Minden-Lübbecke;;;32423;Minden;Portastraße 13;0571;807/1;00;1;Kreis Minden-Lübbecke;1;19730801;04;0;;0;1;;
10741;774032;481990;5729375;Kreis Paderborn;;;33102;Paderborn;Aldegreverstraße 10-14;05251;2081;00;1;Kreis Paderborn;1;19730801;04;0;;0;1;;
10777;962032;403286;5675825;Märkischer Kreis;;;58509;Lüdenscheid;Heedfelder Straße 45;02351;96660;00;1;Märkischer Kreis;1;19730801;04;0;;0;1;;
10807;954024;381347;5682950;Ennepe-Ruhr-Kreis;;;58332;Schwelm;Hauptstr. 92;02125;196;00;1;Ennepe-Ruhr-Kreis;1;19730801;04;0;;0;1;;
10832;958032;449999;5688024;Hochsauerlandkreis;;;59872;Meschede;Steinstr. 39;0291;94-1301;00;1;Hochsauerlandkreis;1;19730801;04;0;;0;1;;
10844;966024;419346;5654133;Kreis Olpe;;;57462;Olpe;Danziger Straße 2;02761;811;00;1;Kreis Olpe;1;19730801;04;0;;0;1;;
10856;970040;430691;5635917;Kreis Siegen-Wittgenstein;;;57072;Siegen;Koblenzer Str. 73;0271;3377/1;00;1;Kreis Siegen-Wittgenstein;1;19730801;04;0;;0;1;;
10868;974040;438695;5713962;Kreis Soest;;;59494;Soest;Osthofenstraße 60-62;02921;101/1;00;1;Kreis Soest;1;19730801;04;0;;0;1;;
10870;978036;408973;5710945;Kreis Unna;;;59425;Unna;Friedrich-Ebert-Str. 17;02303;27-0;00;1;Kreis Unna;1;19730801;04;0;;0;1;;
11046;558036;388027;5729717;Stadt Olfen;;;59399;Olfen;Kirchstr. 5;02595;3890;00;1;Stadt Olfen;1;19730801;06;0;;0;1;;
11150;754052;460031;5769453;Stadt Werther;;;33824;Werther (Westf.);Mühlenstr. 2;05203;705-0;00;1;Stadt Werther (Westf.);1;19730801;06;0;;0;1;;
11174;770044;462893;5802730;Gemeinde Stemwede;;;32351;Stemwede;Buchhofstr. 17;05745;788990;00;1;Gemeinde Stemwede;1;19730801;06;0;;0;1;;
11204;770016;477647;5791351;Gemeinde Hüllhorst;;;32609;Hüllhorst;Löhner Straße 1;05744;1011-13;00;1;Gemeinde Hüllhorst;1;19730801;06;0;;0;1;;
11216;770032;494703;5787539;Stadt Porta Westfalica;;;32457;Porta Westfalica;Kempstraße 1;0571;791-0;00;1;Stadt Porta Westfalica;1;19730801;06;0;;0;1;;
11344;958016;442145;5678363;Gemeinde Eslohe;;;59889;Eslohe (Sauerland);Schultheißstraße 2;02973;751;00;1;Gemeinde Eslohe;1;19730801;06;0;;0;1;;
11368;958032;447775;5688455;Stadt Meschede;;;59872;Meschede;Rathausstraße 2;0291;205/1;00;1;Stadt Meschede;1;19730801;06;0;;0;1;;
11381;170008;343122;5715228;Stadt Dinslaken;;;46535;Dinslaken;Wilhelm-Lantermann-Straße 65;02134;661;00;1;Stadt Dinslaken;1;19730801;06;0;;0;1;;
11400;170044;339388;5718865;Stadt Voerde;;;46562;Voerde (Niederrhein);Rathausplatz 20;02855;800;00;1;Stadt Voerde;1;19730801;06;0;;0;1;;
11411;170036;352632;5728824;Gemeinde Schermbeck;;;46514;Schermbeck;Weseler Straße 1;02853;2033;00;1;Gemeinde Schermbeck;1;19730801;06;0;;0;1;;
11423;170016;345653;5723636;Gemeinde Hünxe;;;46569;Hünxe;Dorstener Straße 24;02858;2002;00;1;Gemeinde Hünxe;1;19730801;06;0;;0;1;;
11435;158008;361231;5673277;Stadt Haan;;;42781;Haan;Kaiserstraße 85;02129;116/1;00;1;Stadt Haan;1;19730801;06;0;;0;1;;
11447;158012;358628;5688110;Stadt Heiligenhaus;;;42579;Heiligenhaus;Hauptstraße 157;02056;13-0;00;1;Stadt Heiligenhaus;1;19730801;06;0;;0;1;;
11459;158016;355725;5670652;Stadt Hilden;;;40721;Hilden;Mittelstraße 40;02103;72-0;00;1;Stadt Hilden;1;19730801;06;0;;0;1;;
11484;158024;358401;5679343;Stadt Mettmann;;;40822;Mettmann;Neanderstraße 85;02104;9800;00;1;Stadt Mettmann;1;19730801;06;0;;0;1;;
11502;158028;349948;5685105;Stadt Ratingen;;;40878;Ratingen;Minoritenstraße 4;02102;980;00;1;Stadt Ratingen;1;19730801;06;0;;0;1;;
11514;158032;363621;5689557;Stadt Velbert;;;42551;Velbert;Thomasstr. 1;02124;260;00;1;Stadt Velbert;1;19730801;06;0;;0;1;;
11526;158036;362862;5682788;Stadt Wülfrath;;;42489;Wülfrath;Goethestraße 21;02058;18232;00;1;Stadt Wülfrath;1;19730801;06;0;;0;1;;
11538;158004;353746;5676457;Stadt Erkrath;;;40699;Erkrath;Bahnstraße 16;0211;2407-0;00;1;Stadt Erkrath;1;19730801;06;0;;0;1;;
11599;154012;314815;5710874;Stadt Geldern;;;47608;Geldern;Issumer Tor 36;02831;1991;00;1;Stadt Geldern;1;19730801;06;0;;0;1;;
11605;154020;321650;5712531;Gemeinde Issum;;;47661;Issum;Weseler Straße 10-12;02835;2001;00;1;Gemeinde Issum;1;19730801;06;0;;0;1;;
11617;154028;317527;5703810;Gemeinde Kerken;;;47647;Kerken;Dionysiusplatz 4;02833;3041;00;1;Gemeinde Kerken;1;19730801;06;0;;0;1;;
11629;154032;309205;5718126;Stadt Kevelaer;;;47623;Kevelaer;Peter-Plümpe-Platz 12;02832;1220;00;1;Stadt Kevelaer;1;19730801;06;0;;0;1;;
11630;154052;310248;5702748;Stadt Straelen;;;47638;Straelen;Rathausstraße 1;02834;7020;00;1;Stadt Straelen;1;19730801;06;0;;0;1;;
11642;154060;314701;5698454;Gemeinde Wachtendonk;;;47669;Wachtendonk;Weinstraße 1;02836;531;00;1;Gemeinde Wachtendonk;1;19730801;06;0;;0;1;;
11654;154064;306293;5723214;Gemeinde Weeze;;;47652;Weeze;Cyriakusplatz 14;02837;910-0;00;1;Gemeinde Weeze;1;19730801;06;0;;0;1;;
11666;162008;331221;5662499;Stadt Grevenbroich;;;41515;Grevenbroich;Am Markt 1;02181;608-0;00;1;Stadt Grevenbroich;1;19730801;06;0;;0;1;;
11757;162016;333704;5677726;Stadt Kaarst;;;41564;Kaarst;Am Neumarkt 2;02131;987-0;00;1;Stadt Kaarst;1;19730801;06;0;;0;1;;
11794;162012;325022;5663929;Stadt Jüchen;;;41363;Jüchen;Am Rathaus 5;02165;915-0;00;1;Stadt Jüchen;1;19730801;06;0;;0;1;;
11800;162004;348784;5662412;Stadt Dormagen;;;41539;Dormagen;Paul-Wierich-Platz 2;02133;257-0;00;1;Stadt Dormagen;1;19730801;06;0;;0;1;;
11824;162022;338977;5680421;Stadt Meerbusch;;;40667;Meerbusch;Dorfstraße 20;02132;916-0;00;1;Stadt Meerbusch;1;19730801;06;0;;0;1;;
11873;162020;326403;5674015;Stadt Korschenbroich;;;41352;Korschenbroich;Regentenstraße 1;02161;613-0;00;1;Stadt Korschenbroich;1;19730801;06;0;;0;1;;
11915;162028;338458;5656350;Gemeinde Rommerskirchen;;;41569;Rommerskirchen;Bahnstraße 51;02183;6001-5;00;1;Gemeinde Rommerskirchen;1;19730801;06;0;;0;1;;
11976;166004;303429;5680331;Gemeinde Brüggen;;;41379;Brüggen;Klosterstraße 38;02163;5050;00;1;Gemeinde Brüggen;1;19730801;06;0;;0;1;;
11988;166008;315152;5690334;Gemeinde Grefrath;;;47929;Grefrath;Rathausplatz 3;02158;40800;00;1;Gemeinde Grefrath;1;19730801;06;0;;0;1;;
11990;166012;320303;5693507;Stadt Kempen;;;47906;Kempen;Buttermarkt 1;02152;13/1;00;1;Stadt Kempen;1;19730801;06;0;;0;1;;
12002;166016;310250;5687388;Stadt Nettetal;;;41334;Nettetal;Marktstraße 32;02153;1211;00;1;Stadt Nettetal;1;19730801;06;0;;0;1;;
12014;166024;309501;5677057;Gemeinde Schwalmtal;;;41366;Schwalmtal;Markt 20;02163;9460;00;1;Gemeinde Schwalmtal;1;19730801;06;0;;0;1;;
12026;166028;325598;5688417;Stadt Tönisvorst;;;47918;Tönisvorst;Bahnstraße 15;02151;999-0;00;1;Stadt Tönisvorst;1;19730801;06;0;;0;1;;
12038;166032;318189;5681503;Stadt Viersen;;;41747;Viersen;Bahnhofstraße 23-29;02162;101425;00;1;Stadt Viersen;1;19730801;06;0;;0;1;;
12040;166036;329243;5682089;Stadt Willich;;;47877;Willich;Kaiserplatz 1;02154;1011-14;00;1;Stadt Willich;1;19730801;06;0;;0;1;;
12051;154004;305957;5738379;Gemeinde Bedburg-Hau;;;47551;Bedburg-Hau;Rathausplatz 1;02821;660-0;00;1;Gemeinde Bedburg-Hau;1;19730801;06;0;;0;1;;
12063;154016;303415;5728854;Stadt Goch;;;47574;Goch;Markt 2;02823;3200;00;1;Stadt Goch;1;19730801;06;0;;0;1;;
12075;154024;313098;5735455;Stadt Kalkar;;;47546;Kalkar;Markt 20;02824;2046;00;1;Stadt Kalkar;1;19730801;06;0;;0;1;;
12087;154036;302669;5741514;Stadt Kleve;;;47533;Kleve;Kavariner Straße 20-22;02821;841;00;1;Stadt Kleve;1;19730801;06;0;;0;1;;
12099;154040;293866;5741728;Gemeinde Kranenburg;;;47559;Kranenburg;Klever Straße 4;02826;1041;00;1;Gemeinde Kranenburg;1;19730801;06;0;;0;1;;
12105;154056;311329;5727626;Gemeinde Uedem;;;47589;Uedem;Mosterstr. 2;02825;88-0;00;1;Gemeinde Uedem;1;19730801;06;0;;0;1;;
12129;170020;328979;5708492;Stadt Kamp-Lintfort;;;47475;Kamp-Lintfort;Rathausplatz 1;02842;2101;00;1;Stadt Kamp-Lintfort;1;19730801;06;0;;0;1;;
12130;170024;334928;5702674;Stadt Moers;;;47441;Moers;Meerstr. 2;02841;2011;00;1;Stadt Moers;1;19730801;06;0;;0;1;;
12154;170032;333752;5713231;Stadt Rheinberg;;;47495;Rheinberg;Großer Markt 1;02843;2011-14;00;1;Stadt Rheinberg;1;19730801;06;0;;0;1;;
12178;170052;323989;5726568;Stadt Xanten;;;46509;Xanten;Karthaus 2;02801;7720;00;1;Stadt Xanten;1;19730801;06;0;;0;1;;
12221;170028;331021;5702006;Stadt Neukirchen-Vluyn;;;47506;Neukirchen-Vluyn;Hans-Böckler-Straße 26;02845;391/1;00;1;Stadt Neukirchen-Vluyn;1;19730801;06;0;;0;1;;
12257;170004;327615;5716694;Gemeinde Alpen;;;46519;Alpen;Rathausstraße 5;02802;2030;00;1;Gemeinde Alpen;1;19730801;06;0;;0;1;;
12269;170040;318326;5720375;Gemeinde Sonsbeck;;;47665;Sonsbeck;Hochstraße 110;02838;2044-46;00;1;Gemeinde Sonsbeck;1;19730801;06;0;;0;1;;
12270;154048;324244;5704858;Gemeinde Rheurdt;;;47509;Rheurdt;Rathausstraße 35;02845;6606;00;1;Gemeinde Rheurdt;1;19730801;06;0;;0;1;;
12282;154008;309709;5745869;Stadt Emmerich am Rhein;;;46446;Emmerich am Rhein;Geistmarkt 1;02822;75-0;00;1;Stadt Emmerich am Rhein;1;19730801;06;0;;0;1;;
12294;554032;325090;5745682;Stadt Isselburg;;;46419;Isselburg;Minervastraße 12;02874;2055-57;00;1;Stadt Isselburg;1;19730801;06;0;;0;1;;
12300;154044;320355;5737272;Stadt Rees;;;46459;Rees;Markt 1;02851;1011;00;1;Stadt Rees;1;19730801;06;0;;0;1;;
12312;170048;334759;5725816;Stadt Wesel;;;46483;Wesel;Klever-Tor-Platz 1;0281;2031;00;1;Stadt Wesel;1;19730801;06;0;;0;1;;
12350;170012;333752;5733738;Stadt Hamminkeln;;;46499;Hamminkeln;Brüner Straße 9;02852;88/1;00;1;Stadt Hamminkeln;1;19730801;06;0;;0;1;;
12397;378008;367719;5660557;Stadt Burscheid;;;51399;Burscheid;Bismarckstraße 8;02174;892/1;00;1;Stadt Burscheid;1;19730801;06;0;;0;1;;
12403;374016;383968;5667899;Stadt Hückeswagen;;;42499;Hückeswagen;Auf'm Schloß 1;02192;880;00;1;Stadt Hückeswagen;1;19730801;06;0;;0;1;;
12415;158020;356594;5664361;Stadt Langenfeld;;;40764;Langenfeld (Rheinland);Konrad-Adenauer-Platz 1;02173;7940;00;1;Stadt Langenfeld;1;19730801;06;0;;0;1;;
12427;378016;361106;5663247;Stadt Leichlingen;;;42799;Leichlingen (Rheinland);Am Büscherhof 1;02175;3041;00;1;Stadt Leichlingen;1;19730801;06;0;;0;1;;
12439;158026;352135;5662115;Stadt Monheim am Rhein;;;40789;Monheim am Rhein;Rathausplatz 2;02173;9510;00;1;Stadt Monheim am Rhein;1;19760701;06;0;;0;1;;
12452;374036;385331;5673780;Stadt Radevormwald;;;42477;Radevormwald;Hohenfuhrstraße 13;02195;7011;00;1;Stadt Radevormwald;1;19730801;06;0;;0;1;;
12490;378032;375001;5666856;Stadt Wermelskirchen;;;42929;Wermelskirchen;Telegrafenstraße 16-20;02196;88/1;00;1;Stadt Wermelskirchen;1;19730801;06;0;;0;1;;
12518;362004;328195;5653496;Stadt Bedburg;;;50181;Bedburg;Am Rathaus 1;02272;4020;00;1;Stadt Bedburg;1;19730801;06;0;;0;1;;
12520;362008;334420;5647432;Stadt Bergheim;;;50126;Bergheim;Bethlehemer Straße 11;02271;89/1;00;1;Stadt Bergheim;1;19730801;06;0;;0;1;;
12609;362016;328735;5645771;Stadt Elsdorf;;;50189;Elsdorf;Gladbacher Straße 111;02274;973;00;1;Stadt Elsdorf;1;19730801;06;0;;0;1;;
12646;362032;337563;5638243;Stadt Kerpen;;;50171;Kerpen;Jahnplatz 1;02237;2074;00;1;Stadt Kerpen;1;19730801;06;0;;0;1;;
12695;362020;346113;5631341;Stadt Erftstadt;;;50374;Erftstadt;Bahnhofstraße 1;02235;409285;00;1;Stadt Erftstadt;1;19730801;06;0;;0;1;;
12701;366016;344304;5614418;Stadt Euskirchen;;;53879;Euskirchen;Kölner Straße 75;02251;14-0;00;1;Stadt Euskirchen;1;19730801;06;0;;0;1;;
12713;366004;341513;5602630;Stadt Bad Münstereifel;;;53902;Bad Münstereifel;Marktstraße 11;02253;5050;00;1;Stadt Bad Münstereifel;1;19730801;06;0;;0;1;;
12725;366040;347975;5624495;Gemeinde Weilerswist;;;53919;Weilerswist;Bonner Straße 29;02254;9600-0;00;1;Gemeinde Weilerswist;1;19730801;06;0;;0;1;;
12737;366044;333860;5618249;Stadt Zülpich;;;53909;Zülpich;Markt 21;02252;520;00;1;Stadt Zülpich;1;19730801;06;0;;0;1;;
12749;366008;333190;5589816;Gemeinde Blankenheim;;;53945;Blankenheim;Rathausplatz 16;02449;7211-15;00;1;Gemeinde Blankenheim;1;19730801;06;0;;0;1;;
12750;366012;326499;5588236;Gemeinde Dahlem;;;53949;Dahlem;Hauptstr. 23;02447;95550;00;1;Gemeinde Dahlem;1;19730801;06;0;;0;1;;
12762;366020;318593;5596193;Gemeinde Hellenthal;;;53940;Hellenthal;Rathausstraße 2;02482;850;00;1;Gemeinde Hellenthal;1;19730801;06;0;;0;1;;
12774;366024;326877;5601484;Gemeinde Kall;;;53925;Kall;Bahnhofstr. 9;02441;8880;00;1;Gemeinde Kall;1;19730801;06;0;;0;1;;
12786;366028;333842;5606982;Stadt Mechernich;;;53894;Mechernich;Bergstr. 1;02443;490;00;1;Stadt Mechernich;1;19730801;06;0;;0;1;;
12798;366032;333790;5597869;Gemeinde Nettersheim;;;53947;Nettersheim;Krausstr. 2;02486;780;00;1;Gemeinde Nettersheim;1;19730801;06;0;;0;1;;
12804;366036;321379;5600474;Stadt Schleiden;;;53937;Schleiden;Blankenheimer Straße 2;02445;890;00;1;Stadt Schleiden;1;19730801;06;0;;0;1;;
12816;362012;352402;5632787;Stadt Brühl;;;50321;Brühl;Steinweg 1;02232;79/1;00;1;Stadt Brühl;1;19730801;06;0;;0;1;;
12828;362024;345967;5642002;Stadt Frechen;;;50226;Frechen;Antoniterstraße 1;02234;5011;00;1;Stadt Frechen;1;19730801;06;0;;0;1;;
12841;362028;350800;5638580;Stadt Hürth;;;50354;Hürth;Friedrich-Ebert-Straße 40;02233;530;00;1;Stadt Hürth;1;19730801;06;0;;0;1;;
