SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
73453;382060;373533;5628873;Volkshochschul-Zweckverband;Rhein-Sieg;;53721;Siegburg;Ringstr. 24;;;00;1;Siegburg, Volkshochschul-Zweckverband;1;19890801;08;0;;0;1;;
73465;116000;323861;5676002;Freie Waldorfschule;Mönchengladbach e.V.;;41065;Mönchengladbach;Weiersweg 10;02161;821320;00;2;Mönchengladbach,Freie Waldorfschule e.V.;1;19890801;60;0;;0;1;;
73477;170008;340882;5715012;Verein Freie Waldorfschule;Dinslaken e.V.;;46535;Dinslaken;Eppinkstr. 173;02064;54739;00;2;Dinslaken, Verein Freie Waldorf;1;19890801;60;0;;0;1;;
73519;999999;584599;5301419;Don-Bosco-Schulverein e.V.;;;87764;Legau;Amselweg 4;08330;9126419;00;2;Ruppichteroth,Don-Bosco-Schulverein e.V.;1;19890801;55;0;;0;1;;
73520;954020;388622;5696714;Gemeinnütziger Verein zur Entwicklung;von Gemeinschaftskrankenhäusern e.V.;;58313;Herdecke;Gerhard-Kinle-Weg 4;02330;623623;00;2;Herdecke, Gemeinnütziger Verein;1;19890801;60;0;;0;1;;
73556;711000;469175;5761828;Trägerverein der Evangelikalen;Bekenntnisschulen Bielefeld e.V.;;33604;Bielefeld;Königsbrügge 1;0521;30438867;00;2;Bielefeld, Trägerverein d.Evang.Bek.Sch.;1;19900801;44;0;;0;1;;
73568;954032;387020;5690405;Christliche Bekenntnisschulen;Ennepe-Ruhr e.V.;co Georg-Müller-Schulen (EN);58300;Wetter (Ruhr);Genossenschaftsweg 1a;02335;844339;00;2;Wetter (Ruhr),Christl.Bekenntnissch.e.V.;1;19900801;44;0;;0;1;;
73570;970016;422812;5635079;Christlicher Schulverein Siegen e.V.;;;57258;Freudenberg;Zum Giebelwald 16;02734;437124;00;2;Wilnsdorf,Christlicher Schulverein e.V.;1;19900801;44;0;;0;1;;
73581;111000;350681;5671636;Rheinisch-Bergischer-Verein;Freie Christliche Schulen e.V.;;40599;Düsseldorf;Buchenstr. 1;0211;239774-0;00;2;Düsseldorf, Rheinisch-Bergischer-Verein;1;19940731;44;0;;0;1;;
73593;362020;347163;5629906;Waldorfschulverein Voreifel e.V.;;;50374;Erftstadt;An der Waldorfschule 1;02235;46080;00;2;Erftstadt, Waldorfschulverein Voreifel;1;19900801;60;0;;0;1;;
73611;570048;448237;5731711;Schulverein Gymnasium Johanneum;Wadersloh e.V.;;59329;Wadersloh;Liesborner Str. 10;02523;920920;00;2;Wadersloh, Schulverein Johanneum;1;19910101;55;0;;0;1;;
73623;554056;357291;5762082;Verein St.Anna-Realschule;Kath. Schule in freier Trägerschaft e.V.;;48703;Stadtlohn;Klosterstraße 38;02563;1086;00;2;Stadtlohn, Verein St.Anna Realschule;1;19910101;55;0;;0;1;;
73635;113000;361984;5702491;Johannes-Kessels-Akademie e.V.;;;45127;Essen;Am Porscheplatz 1;0201;81028513;00;2;Essen, Joh.-Kessels-Akademie e.V.;1;19910101;55;0;;0;1;;
73659;382056;370878;5624861;Waldorfschulverein Sieg-Kreis;;;53757;Sankt Augustin;Graf-Zeppelin-Str. 7;02241;921160;00;2;Sankt Augustin,Waldorfschulverein Sieg-K;1;19910801;60;0;;0;1;;
73660;374012;397320;5649511;Freie Waldorfschule Oberberg;;;51645;Gummersbach;Kirchhellstraße 32;02261;968612;00;2;Gummersbach,Freie Waldorfschule Oberberg;1;19910801;60;0;;0;1;;
73684;913000;393383;5703385;Georgschule Dortmund e.v.;Freie Waldorfschule für Erziehungshilfe;;44225;Dortmund;Mergelteichstraße 63;0231;9710648;00;2;Dortmund, Freie Waldorfschule;1;19900801;60;0;;0;1;;
73696;113000;362483;5705328;Dore-Jacobs-Berufskolleg gGmbH;;;45326;Essen;Twentmannstr. 125;0201;471497;00;2;Essen, Dore-Jacobs-Berufskolleg gGmbH;1;19910801;35;0;;0;1;;
73702;758004;470882;5783359;Gesamtschulverband;Bünde/Kirchlengern;;32227;Bünde;Postfach 2749;05223;161-0;00;1;Bünde, Gesamtschulverband;1;19910801;08;0;;0;1;;
73726;111000;342138;5684733;International School of Düsseldorf e.V.;;;40489;Düsseldorf;Niederrheinstr. 336;0211;94066;00;2;Düsseldorf, International School;1;19680801;36;0;;0;1;;
73740;358048;321464;5640101;Schulverband Niederzier/Merzenich;;;52382;Niederzier;Rathausstr. 8;02428;84-0;00;1;Niederzier, Schulverb. Niederz./Merzen.;1;19920801;08;0;;0;1;;
73763;158020;356360;5666784;Zweckverband Gesamtschule;Langenfeld-Hilden;;40764;Langenfeld (Rheinland);Hildener Str. 3;02173;969454;00;1;Langenfeld, Zweckverband Gesamtschule;1;19920801;08;0;;0;1;;
73775;562032;375675;5719015;Kreis Recklinghausen;Herr Pinnow/ Abt. 40.2;;45657;Recklinghausen;Kurt-Schumacher-Allee 1;02361;53-0;00;1;Kreis Recklinghausen;1;19930101;04;0;;0;1;;
73787;962032;404651;5673751;Freie Christliche Schule Lüdenscheid e.V;;;58515;Lüdenscheid;Am Schäferland 1;02351;9811610;00;2;Lüdenscheid, Freie Christl.Schule e.V.;1;19920801;44;0;;0;1;;
73799;111000;344975;5679214;Jüdische Gemeinde Düsseldorf;;;40476;Düsseldorf;Zietenstr. 50;0211;469120;00;2;Düsseldorf, Jüdische Gemeinde;1;19930801;99;0;;0;1;;
73842;962028;403387;5666594;Freie Schule Kierspe gGmbH;;;58566;Kierspe;Erlen 5;02359;1244;00;2;Kierspe, Freie Schule Kierspe gGmbH;1;19940801;35;0;;0;1;;
73854;374012;398254;5653403;Schulverein der;Freien Christlichen Bekenntnisschule;Gummersbach e.V.;51643;Gummersbach;Hülsenbuscher Straße 5;02261;4058337;00;2;Gummersbach, Schulverein Freie Christl.;1;19940801;44;0;;0;1;;
73866;314000;365304;5620380;Johannes-Schule Bonn e.V.;;;53115;Bonn;Rehfuesstr. 38;0228;914340;00;2;Bonn, Johannes-Schule Bonn e.V.;1;19930101;60;0;;0;1;;
73878;711000;470176;5761428;Arbeiterwohlfahrt;Bezirksverband östliches Westfalen e.V.;;33605;Bielefeld;Detmolder Str. 280;0521;92160;00;2;Bielefeld,Arbeiterwohlfahrt östl. Westf.;1;19950801;35;0;;0;1;;
73880;362028;349541;5640239;Landesverband Lebenshilfe NW e.V.;;;50354;Hürth;Abtstraße 21;02233;93245622;00;2;Hürth, Landesverband Lebenshilfe;1;19950801;44;0;;0;1;;
73891;570004;422949;5735634;St. Vincenz-Gesellschaft mbH;- Sekundarstufe II -;;59227;Ahlen;Robert-Koch-Str. 28;02382;858601;00;2;Ahlen, BK St. Vincenz-Gesellschaft mbH;1;19950801;54;0;;0;1;;
73910;315000;356169;5646835;Verein Freie Schule Köln e.V.;;;50670;Köln;Bernhard-Letterhaus-Straße 17;0221;9731830;00;2;Köln, Verein Freie Schule Köln e.V.;1;19950801;36;0;;0;1;;
73933;954016;375910;5694756;VAMED Klinik Hattingen GmbH;;;45527;Hattingen;Am Hagen 20;02324;9660;00;2;Hattingen, VAMED Klinik Hattingen GmbH;1;19950801;35;0;;0;1;;
74421;124000;380675;5678857;Ita Wegman Bildungszentrum e.V.;;;42399;Wuppertal;Am Kriegermal 3;0202;2611199;00;2;Wuppertal, Ita Wegman Bildungszentr.e.V.;1;19970201;36;0;;0;1;;
75085;315000;360231;5647762;Verein zur Förderung abschlußbezogener;Jugend- und Erwachsenenbildung e. V.;;51063;Köln;Genovevastraße 72;0221;962020;00;2;Köln,Verein z. Förd. Jugend-u.Erw.-Bild.;1;19960801;36;0;;0;1;;
75530;314000;371969;5613464;Deutsch-Französischer;Schulverein e.V.;;53179;Bonn;Meckenheimer Str. 45;0228;9538031;00;2;Bonn, Deutsch-Französischer Schulverein;1;19600101;36;0;;0;1;;
75668;314000;369449;5613731;Independent Bonn;International School e.V.;;53177;Bonn;Tulpenbaumweg 42;0228;323166;00;2;Bonn, Independent Bonn Int. School e.V.;1;19630101;32;0;;0;1;;
76077;754008;464556;5754141;Waldorfschulverein Gütersloh e.V.;;;33335;Gütersloh;Hermann-Rothert-Straße 7;05209;5584;00;2;Gütersloh, Waldorfschulverein;1;19970101;60;0;;0;1;;
76284;113000;363910;5701466;Franz Sales Schule gGmbH;;;45138;Essen;Steeler Str. 261;0201;2769500;00;2;Essen, Franz Sales Schule gGmbH;1;19960801;35;0;;0;1;;
76510;914000;390554;5690146;Schulverein Freie Evang. Schule e.V.;;;58135;Hagen;Hammerstr. 6a;02331;5981100;00;2;Hagen,Schulverein Freie Evang.Schule e.V;1;19950801;36;0;;0;1;;
76545;916000;376095;5709140;Freikirche;der Siebten-Tags-Adventisten;in Nordrhein-Westfalen KdöR;44625;Herne;Bochumer Str. 229;02323;227590;00;2;Mettmann,Freikirche Siebten-Tags-Advent.;1;19960801;44;0;;0;1;;
77422;154016;302673;5730201;Zweckverband;Gesamtschule Mittelkreis;;47565;Goch;Postfach 100551;02823;320113;00;1;Goch,Zweckverband Ges.schule Mittelkreis;1;19970801;08;0;;0;1;;
77793;113000;363910;5701466;Trägerverein für das Franz-Sales-Haus;zu Essen;;45138;Essen;Steeler Straße 261;0201;2769203;00;2;Essen, Trägerverein Franz-Sales-Haus;1;19920801;36;0;;0;1;;
77800;974040;437883;5712608;Freie Waldorfschule Soest e.V.;Hugo Kükelhaus Schule;;59494;Soest;Wisbyring 13;02921;343435;00;2;Soest, Freie Waldorfschule Soest e.V.;1;19990801;60;0;;0;1;;
77896;513000;368729;5714265;Schulverein Raphael-Schule e.V.;;;45892;Gelsenkirchen;Coesfelder Str. 75;;;00;2;Gelsenkirchen,Schulverein Raphael-Schule;1;20000101;60;0;;0;1;;
78300;774032;483206;5729828;Stiftung;Schulen der Brede;;33098;Paderborn;Domplatz 3;05251;1251412;00;2;Paderborn, Stiftung Schulen der Brede;1;20000223;51;0;;0;1;;
78311;913000;393256;5703422;Rudolf-Steiner-Schule Dortmund e.V.;;;44225;Dortmund;Mergelteichstr. 51;0231;7107501;00;2;Dortmund, Rudolf-Steiner-Schule e.V.;1;20000301;60;0;;0;1;;
78323;954036;387007;5702092;Verein Blote-Vogel;Freie Schule nach der Pädagogik;Rudolf Steiners e.V.;58454;Witten;Stockumer Straße 108;02302;956600;00;2;Witten, Verein Blote-Vogel;1;19980801;60;0;;0;1;;
78335;158032;369725;5690034;Windrather Talschule e.V.;;;42555;Velbert;Panner Straße 24;02052;92640;00;2;Velbert, Windrather Talschule e.V.;1;20000101;60;0;;0;1;;
78347;111000;344214;5682550;Siemens AG;c/o Herrn Werner Franz;Siemens Professional Education;40468;Düsseldorf;Klaus-Bungert-Str. 6;0211;69162629;00;2;Düsseldorf, Siemens AG;1;19991001;35;0;;0;1;;
78360;570024;419608;5752624;Trägerverein;Freie Waldorfschule in Everswinkel e.V.;;48351;Everswinkel;Wester 32;02582;991818;00;2;Everswinkel, Trägerverein Waldorfschule;1;20000801;60;0;;0;1;;
78384;974028;454978;5723588;Initiative für Jugendhilfe, Bildung;und Arbeit e.V.;;59557;Lippstadt;Südstraße 18;02941;752140;00;2;Lippstadt, Initiative für Jugendhilfe;1;20000801;36;0;;0;1;;
