Gliederung;FKS;DQR_Niveau;gueltigVon;gueltigBis
A02;33705;4;;
A02;33706;4;;
A02;33707;4;;
A02;33801;4;;
A02;33802;4;;
A02;33803;4;;
A02;33903;4;;
A02;33905;4;;
A02;33906;4;;
A02;34001;4;;
A02;34002;4;;
A02;34003;4;;
A02;34100;4;;
A02;34300;3;;
A02;34400;4;;
A02;34500;4;;
A02;35000;3;;
A02;35100;4;;
A02;35200;4;;
A02;35701;4;;
A02;35702;4;;
A02;35703;4;;
A02;35800;4;;
A02;35901;4;;
A02;35902;4;;
A02;36100;4;;
A02;36200;4;;
A02;36500;4;;
A02;36600;4;;
A02;36700;4;;
A02;36806;4;;
A02;36807;4;;
A02;36808;4;;
A02;36809;4;;
A02;36810;4;;
A02;37000;4;;
A02;37100;4;;
A02;37200;4;;
A02;37300;3;;
A02;37400;4;;
A02;37600;4;;
A02;38000;4;;
A02;38100;4;;
A02;38300;4;;
A02;38800;4;;
A02;38900;4;;
A02;39000;3;;
A02;39100;4;;
A02;39301;4;;
A02;39302;4;;
A02;39303;4;;
A02;39601;4;;
A02;39602;4;;
A02;39800;4;;
A02;40000;3;;
A02;40300;4;;
A02;40400;4;;
A02;40700;4;;
A02;40800;4;;
A02;41200;4;;
A02;41300;4;;
A02;41500;4;;
A02;41601;4;;
A02;41602;4;;
A02;41603;4;;
A02;41604;4;;
A02;41605;4;;
A02;41800;4;;
A02;41900;4;;
A02;42300;4;;
A02;42500;4;;
A02;42700;4;;
A02;42800;4;;
A02;42900;4;;
A02;43100;4;;
A02;43200;4;;
A02;43400;4;;
A02;43800;4;;
A02;43901;4;;
A02;43902;4;;
A02;43904;4;;
A02;43905;4;;
A02;43907;4;;
A02;44000;3;;
A02;44200;4;;
A02;44600;4;;
A02;44901;4;;
A02;44902;4;;
A02;45000;3;;
A02;45050;3;;
A02;45051;3;;
A02;45052;3;;
A02;45053;3;;
A02;45201;4;;
A02;45202;4;;
A02;45203;4;;
A02;45301;4;;
A02;45302;4;;
A02;45303;4;;
A02;45304;4;;
A02;45305;4;;
A02;45400;4;;
A02;45500;4;;
A02;45600;4;;
A02;45903;4;;
A02;46000;4;;
A02;46100;4;;
A02;46101;4;;
A02;46102;4;;
A02;46103;4;;
A02;46104;4;;
A02;46105;4;;
A02;46106;4;;
A02;46107;4;;
A02;46200;4;;
A02;46300;3;;
A02;46501;4;;
A02;46502;4;;
A02;46801;4;;
A02;46802;4;;
A02;46803;4;;
A02;46804;4;;
A02;46805;4;;
A02;46806;4;;
A02;46807;4;;
A02;46808;4;;
A02;46809;4;;
A02;47001;4;;
A02;47002;4;;
A02;47200;4;;
A02;47700;4;;
A02;48000;4;;
A02;48001;4;;
A02;48002;4;;
A02;48003;4;;
A02;48004;4;;
A02;48200;4;;
A02;48300;4;;
A02;48500;4;;
A02;48700;4;;
A02;48800;4;;
A02;49100;4;;
A02;49101;4;;
A02;49102;4;;
A02;49201;4;;
A02;49202;4;;
A02;49301;4;;
A02;49302;4;;
A02;49400;4;;
A02;49500;4;;
A02;49600;4;;
A02;49800;4;;
A02;49900;4;;
A02;50000;4;;
A02;50100;4;;
A02;50200;4;;
A02;50300;4;;
A02;50400;4;;
A02;50500;4;;
A02;50600;4;;
A02;50700;4;;
A02;50800;4;;
A02;50900;4;;
A02;51000;4;;
A02;51100;4;;
A02;51200;4;;
A02;51300;4;;
A02;51400;4;;
A02;51500;4;;
A02;51600;4;;
A02;51700;4;;
A02;51801;4;;
A02;51802;4;;
A02;51803;4;;
A02;51804;4;;
A02;51901;4;;
A02;51902;4;;
A02;51903;4;;
A02;51904;4;;
A02;51905;4;;
A02;51906;4;;
A02;52000;4;;
A02;52101;4;;
A02;52102;4;;
A02;52103;4;;
A02;52104;4;;
A02;52200;4;;
A02;52300;4;;
A02;52400;4;;
A02;52500;3;;
A02;52600;4;;
A02;52700;4;;
A02;52800;3;;
A02;52900;3;;
A02;53000;4;;
A02;53150;3;;
A02;53151;3;;
A02;53152;3;;
A02;53153;3;;
A02;53154;3;;
A02;53200;4;;
A02;53301;4;;
A02;53302;4;;
A02;53400;4;;
A02;53500;4;;
A02;53600;3;;
A02;53700;4;;
A02;53800;3;;
A02;53900;4;;
A02;54000;3;;
A02;54100;4;;
A02;54200;4;;
A02;54300;4;;
A02;54400;4;;
A02;54500;4;;
A02;54600;3;;
A02;54700;4;;
A02;54800;4;;
A02;54900;3;;
A02;55001;4;;
A02;55002;4;;
A02;55100;4;;
A02;55200;4;;
A02;55350;4;;
A02;55351;4;;
A02;55352;4;;
A02;55400;4;;
