SNR;SGL;FSP;gueltigVon;gueltigBis
102015;   ;LB;;
102015;   ;SB;;
102015;   ;GB;;
102015;   ;GH;;
102015;   ;SG;;
102015;   ;BL;;
102015;   ;SH;;
102027;   ;BL;;
102027;   ;SH;;
102027;   ;EZ;;
102027;   ;LB;;
102027;   ;SB;;
102027;   ;GB;;
102027;   ;GH;;
102027;   ;SG;;
102040;   ;EZ;;
102040;   ;LB;;
102040;   ;SB;;
102040;   ;GB;;
102040;   ;GH;;
102040;   ;SG;;
102040;   ;BL;;
102040;   ;SH;;
102052;   ;BL;;
102052;   ;SH;;
102052;   ;EZ;;
102052;   ;LB;;
102052;   ;SB;;
102052;   ;GB;;
102052;   ;GH;;
102052;   ;SG;;
102064;   ;EZ;;
102064;   ;LB;;
102064;   ;SB;;
102064;   ;GB;;
102064;   ;GH;;
102064;   ;SG;;
102064;   ;BL;;
102064;   ;SH;;
102076;   ;BL;;
102076;   ;SH;;
102076;   ;EZ;;
102076;   ;LB;;
102076;   ;SB;;
102076;   ;GB;;
102076;   ;GH;;
102076;   ;SG;;
102088;   ;EZ;;
102088;   ;LB;;
102088;   ;SB;;
102088;   ;GB;;
102088;   ;GH;;
102088;   ;SG;;
102088;   ;BL;;
102088;   ;SH;;
102106;   ;BL;;
102106;   ;SH;;
102106;   ;EZ;;
102106;   ;LB;;
102106;   ;SB;;
102106;   ;GB;;
102106;   ;GH;;
102106;   ;SG;;
102118;   ;EZ;;
102118;   ;LB;;
102118;   ;SB;;
102118;   ;GB;;
102118;   ;GH;;
102118;   ;SG;;
102118;   ;BL;;
102118;   ;SH;;
102120;   ;EZ;;
102120;   ;LB;;
102120;   ;SB;;
102120;   ;GB;;
102120;   ;GH;;
102120;   ;SG;;
102120;   ;BL;;
102120;   ;SH;;
102143;   ;EZ;;
102143;   ;LB;;
102143;   ;SB;;
102143;   ;GB;;
102143;   ;GH;;
102143;   ;SG;;
102143;   ;BL;;
102143;   ;SH;;
102155;   ;BL;;
102155;   ;SH;;
102155;   ;EZ;;
102155;   ;LB;;
102155;   ;SB;;
102155;   ;GB;;
102155;   ;GH;;
102155;   ;SG;;
102179;   ;EZ;;
102179;   ;LB;;
102179;   ;SB;;
102179;   ;GB;;
102179;   ;GH;;
102179;   ;SG;;
102179;   ;BL;;
102179;   ;SH;;
102180;   ;BL;;
102180;   ;SH;;
102180;   ;EZ;;
102180;   ;LB;;
102180;   ;SB;;
102180;   ;GB;;
102180;   ;GH;;
102180;   ;SG;;
102210;   ;EZ;;
102210;   ;LB;;
102210;   ;SB;;
102210;   ;GB;;
102210;   ;GH;;
102210;   ;SG;;
102210;   ;BL;;
102210;   ;SH;;
102234;   ;EZ;;
102234;   ;LB;;
102234;   ;SB;;
102234;   ;GB;;
102234;   ;GH;;
