"ID";"Gruppe";"KurzBez";"Bezeichnung";"Grundschule";"Tabelle";"DBFeld";"Typ";"Control";"WerteAnzeige";"WerteSQL";"LookupInfo";"OperatorenAnzeige";"OperatorenSQL";"Zusatzbedingung";"ZusatzTabellen"
12;S;Volljährig;Schüler: Volljährig;+;Schueler;Volljaehrig;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
13;S;Schulpflicht erfüllt;Schüler: Schulpflichtig;+;Schueler;SchulpflichtErf;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
14;S;Schwerstbehinderung;Schüler: Schwerbehinderung;+;Schueler;Schwerbehinderung;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
15;S;Bafög;Schüler: Bafög;+;Schueler;Bafoeg;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
16;S;Fahrschüler-Art;Schüler: Fahrschüler-Art;+;Schueler;Fahrschueler_ID;N;DBLOOKUP;;;"dsFahrschuelerArt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
17;S;Sportbefreiung;Schüler: Sportbefreiung;+;Schueler;Sportbefreiung_ID;N;DBLOOKUP;;;"dsSportbefreiung;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
18;S;Gelöscht;Schüler: Gelöscht;+;Schueler;Geloescht;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
20;S;Status;Schüler: Status;+;Schueler;Status;N;DBLOOKUP;;;"dsStatus;Bezeichnung;StatusNr";"gleich;ungleich";"=;<>";;
21;S;Statistik-Jahrgang;Schüler: Statistik-Jahrgang;+;Schueler;ASDJahrgang;C;DBLOOKUP;;;"dsEigeneSchule_Jahrgaenge;ASDJahrgang;ASDJahrgang";"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;<>;>;>=;<;<=;IS NULL;IS NOT NULL";;
22;S;Klasse;Schüler: Klasse;+;Schueler;Klasse;C;EDIT;;;"dsVersetzung;Klasse;Klasse";"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;IS NULL;IS NOT NULL";;
23;S;Einschulungsjahr;Schüler: Einschulungsjahr;+;Schueler;Einschulungsjahr;N;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;<>;>;>=;<;<=;IS NULL;IS NOT NULL";;
24;S;Prüfungsordnung;Schüler: Prüfungsordnung;+;Schueler;SLBNr;N;DBLOOKUP;;;"dsSchulLaufbahn;SLBName;SLBNr";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
26;S;Geburtsname;Schüler: Geburtsname;+;Schueler;Geburtsname;C;EDIT;;;;"gleich;enthält;beginnt mit;leer;nicht leer";"=;LIKE;like;IS NULL;IS NOT NULL";;
27;S;Ortsteil;Schüler: Ortsteil;+;Schueler;Ortsteil_ID;N;DBLOOKUP;;;"dsOrtsteil;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
28;S;Telefon;Schüler: Telefon;+;Schueler;Telefon;C;EDIT;;;;"gleich;enthält;beginnt mit;leer;nicht leer";"=;LIKE;like;IS NULL;IS NOT NULL";;
29;S;Mobilnummer;Schüler: Mobilnr.;+;Schueler;Fax;C;EDIT;;;;"gleich;enthält;beginnt mit;leer;nicht leer";"=;LIKE;like;IS NULL;IS NOT NULL";;
30;S;Email;Schüler: Email;+;Schueler;Email;C;EDIT;;;;"gleich;enthält;beginnt mit;leer;nicht leer";"=;LIKE;like;IS NULL;IS NOT NULL";;
31;S;Aufnahmedatum;Schüler: Aufnahmedatum;+;Schueler;Aufnahmedatum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
32;S;Externe ID-Nr.;Schüler: Externe ID-Nr.;+;Schueler;IDExt;C;EDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;enthält;beginnt mit;leer;nicht leer";"=;>;>=;<;<=;LIKE;like;IS NULL;IS NOT NULL";;
33;S;Haltestelle;Schüler: Haltestelle;+;Schueler;Haltestelle_ID;N;DBLOOKUP;;;"dsHaltestelle;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
34;S;Religionsunterricht Abmeldung;Schüler: Religionsunterricht Abmeldung;+;Schueler;Religionsabmeldung;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
35;S;Religionsunterricht Anmeldung;Schüler: Religionsunterricht Anmeldung;+;Schueler;Religionsanmeldung;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
